id;station_a;station_b;distance
;Gomunice;Dobryszyce koło Radomska;5.758
;Dobryszyce koło Radomska;Radomsko;5.681
;Sędziszów;Klimontów;5.011
;Klimontów;Kozłów;5.855
;Kozłów;Tunel;5.68
;Tunel;Dziadówki;4.416
;Dziadówki;Miechów;5.149
;Miechów;Kamieńczyce;3.381
;Kamieńczyce;Szczepanowice;3.21
;Szczepanowice;Smroków;3.388
;Smroków;Słomniki;3.219
;Słomniki;Słomniki Miasto;1.67
;Słomniki Miasto;Niedźwiedź;3.571
;Niedźwiedź;Goszcza;3.108
;Goszcza;Łuczyce;2.68
;Łuczyce;Baranówka;2.61
;Baranówka;Zastów;3.766
;Zastów;Kraków Batowice;5.329
;Kraków Batowice;Kraków Główny;6.165
;Radom Główny;Radom Południowy;7.073
;Radom Południowy;Rożki;3.239
;Rożki;Ruda Wielka;4.289
;Ruda Wielka;Wola Lipieniecka;3.157
;Wola Lipieniecka;Jastrząb;4.423
;Jastrząb;Gąsawy Plebańskie;3.516
;Gąsawy Plebańskie;Szydłowiec;3.874
;Szydłowiec;Lipowe Pole;6.167
;Lipowe Pole;Skarżysko-Kamienna;4.762
;Skarżysko-Kamienna;Skarżysko Kościelne;2.408
;Skarżysko Kościelne;Suchedniów Północny;4.187
;Suchedniów Północny;Suchedniów;2.367
;Suchedniów;Berezów;2.695
;Berezów;Łączna;5.172
;Łączna;Zagnańsk;11.026
;Zagnańsk;Tumlin;4.901
;Tumlin;Kostomłoty;5.862
;Kostomłoty;Kielce Piaski;3.956
;Kielce Piaski;Kielce;1.656
;Kielce;Kielce Białogon;4.198
;Kielce Białogon;Kielce Słowik;3.498
;Kielce Słowik;Sitkówka Nowiny;1.962
;Sitkówka Nowiny;Radkowice;4.824
;Radkowice;Wolica;5.607
;Wolica;Sobków;4.116
;Sobków;Miąsowa;7.613
;Miąsowa;Jędrzejów;12.175
;Jędrzejów;Potok;6.598
;Potok;Krzcięcice;6.28
;Krzcięcice;Sędziszów;6.689
;Dęblin;Zarzecze koło Dęblina;5.601
;Zarzecze koło Dęblina;Bąkowiec;7.907
;Bąkowiec;Garbatka-Letnisko;7.033
;Garbatka-Letnisko;Żytkowice;5.222
;Żytkowice;Pionki;6.738
;Pionki;Pionki Zachodnie;1.757
;Pionki Zachodnie;Jedlnia Kościelna;2.998
;Jedlnia Kościelna;Jedlnia-Letnisko;6.293
;Jedlnia-Letnisko;Antoniówka;3.557
;Antoniówka;Rajec Poduchowny;1.994
;Rajec Poduchowny;Radom Główny;7.675
;Sitkówka Nowiny;Brzeziny;4.771
;Brzeziny;Kije;19.969
;Kije;Busko-Zdrój;19.313
;Tomaszów Mazowiecki;Tomaszów Mazowiecki Białobrzegi;3.585
;Tomaszów Mazowiecki Białobrzegi;Brzustów;7.18
;Brzustów;Antoniów;5.129
;Antoniów;Dęba Opoczyńska;4.134
;Dęba Opoczyńska;Radzice;10.197
;Radzice;Drzewica;5.768
;Drzewica;Bieliny Opoczyńskie;3.132
;Bieliny Opoczyńskie;Zygmuntów;4.992
;Zygmuntów;Smogorzów Przysuski;2.885
;Smogorzów Przysuski;Przysucha;4.402
;Przysucha;Skrzynno;4.631
;Skrzynno;Wieniawa;4.737
;Wieniawa;Podbór;6.043
;Podbór;Chronów;3.76
;Chronów;Wolanów;4.798
;Wolanów;Kończyce Radomskie;3.328
;Kończyce Radomskie;Radom Potkanów;4.069
;Radom Potkanów;Radom Główny;6.376
;Tomaszów Mazowiecki;Opoczno Południe;45.051
;Koluszki;Słotwiny;3.213
;Słotwiny;Wykno;8.214
;Wykno;Zaosie;3.767
;Zaosie;Skrzynki;3.972
;Skrzynki;Tomaszów Mazowiecki;8.002
;Tomaszów Mazowiecki;Jeleń;5.698
;Jeleń;Bratków;6.007
;Bratków;Szadkowice;5.547
;Szadkowice;Słomianka;3.063
;Słomianka;Opoczno;5.886
;Skarżysko Kościelne;Marcinków;6.209
;Marcinków;Wąchock;2.936
;Wąchock;Starachowice;4.437
