id;station_a;station_b;distance
;Dobino Wałeckie;Wałcz;6.209
;Doboszowice;Kamieniec Ząbkowicki;5.097
;Dobre Miasto;Bzowiec;6.499
;Dobrocin;Morąg;6.558
;Dobroń;Kolumna;3.694
;Dobroszyce;Grabowno Wielkie;8.803
;Dobrowoda;Policzna;3.64
;Dobrynka;Małaszewicze;6.861
;Dobryszyce koło Radomska;Radomsko;5.681
;Dobrzechów;Markuszowa;2.663
;Dobrzejewice;Obrowo;5.442
;Dobrzeń Wielki;Opole Borki;3.569
;Dobrzykowice Wrocławskie;Nadolice Małe;2.96
;Dobrzyniewo Duże;Borsukówka;6.158
;Dobrzyń;Bujaki;3.891
;Dolice;Morzyca;4.392
;Dolna Odra;Gryfino;4.958
;Dolnik;Skórka;5.842
;Domaniewice Centrum;Domaniewice;2.246
;Domaniewice;Grudze;6.473
;Domanin;Ostrzeszów;10.987
;Domasław;Kobierzyce;4.419
;Domaszków;Roztoki Bystrzyckie;2.949
;Domaszowice;Gręboszów;6.198
;Dominów;Jaszczów;5.03
;Domisław;Czarne;6.692
;Dopiewo;Otusz;5.907
;Dorohusk (Gr);Jagodin;5
;Dorohusk;Dorohusk (Gr);2.031
;Dragacz;Grudziądz Śródmieście;2.626
;Drawiny;Podlesiec;7.023
;Drawski Młyn;Krzyż;5.723
;Drawsko Pomorskie;Jankowo Pomorskie;3.434
;Drogomyśl;Pruchna;5.084
;Drużyna Poznańska;Mosina;3.941
;Drygały;Pogorzel Wielka;4.594
;Drzeńsko;Kowalów;3.174
;Drzewce;Torzym;9.17
;Drzewica;Bieliny Opoczyńskie;3.132
;Drzonowo;Biały Bór;9.218
;Drzymałowo;Rakoniewice;2.986
;Dubielno;Grupa;4.897
;Dulowa;Wola Filipowska;4.323
;Dunowo;Nosówko;4.199
;Duszniki-Zdrój;Kulin Kłodzki;5.308
;Dwikozy;Sandomierz;10.79
;Dwory;Oświęcim;6.922
;Dygowo;Stramnica;5.253
;Dytmarów;Prudnik;7.06
;Działdowo;Burkat;4.899
;Działdowo;Zakrzów-Sarnowo;11.228
;Dziembówko;Piła Kalina;3.704
;Dziemiany Kaszubskie;Kalisz Kaszubski;3.86
;Dziergowice;Kuźnia Raciborska;4.799
;Dzierżanów Wielkopolski;Krotoszyn;6.338
;Dzierżążno;Borkowo;6.343
;Dzierżoniów Śląski;Mościsko Dzierżoniowskie;6.737
;Dzietrzniki;Pątnów Wieluński;4.861
;Dziewięcierz;Werchrata;6.85
;Dziewule;Radomyśl;2.632
;Dzięczyn;Karzec;3.466
;Dziwno;Sadlinki;6.152
;Elbląg;Komorowo Żuławskie;10.252
;Ełk Szyba Wschód;Ełk;2.758
;Ełk Szyba Zachód;Ełk;2.705
;Fałkowo;Pierzyska;3.945
;Fasty;Dobrzyniewo Duże;2.477
;Firlus;Kornatowo;3.367
;Fiszewo;Gronowo Elbląskie;3.3
;Fosowskie;Staniszcze Małe;3.086
;Fronołów;Siemiatycze;3.45
;Frysztak;Przybówka;4.25
;Gajówka;Jeżówka;4.837
;Gałęzinowo;Charnowo Słupskie;1.6
;Gałkówek;Żakowice Południowe;4.246
;Gałkówek;Justynów;3.276
;Gamerki Wielkie;Wołowno;4.306
;Garbatka-Letnisko;Żytkowice;5.222
;Garbce;Korzeńsko;3.634
;Garczegorze;Lędziechowo;7.541
;Garczyn;Kościerzyna;6.723
;Gardeja;Dziwno;3.881
;Garki;Odolanów;4.172
;Garwolin;Ruda Talubska;6.149
;Gawrony;Witonia;6.326
;Gąbin;Górzyca Reska;6.36
;Gądki;Poznań Krzesiny;6.281
;Gądków Wielki;Jerzmanice Lubuskie;9.452
;Gągławki;Bartąg;3.667
;Gąsawy Plebańskie;Szydłowiec;3.874
;Gąsocin;Gołotczyzna;5.716
;Gdakowo;Mikołajki Pomorskie;3.807
;Gdańsk Brętowo;Gdańsk Niedźwiednik;1.452
;Gdańsk Firoga;Gdańsk Matarnia;1.435
;Gdańsk Główny;Gdańsk Stocznia;0.994
;Gdańsk Jasień;Gdańsk Brętowo;2.092
;Gdańsk Kiełpinek;Gdańsk Jasień;1.487
;Gdańsk Lipce;Gdańsk Orunia;2.444
;Gdańsk Matarnia;Gdańsk Kiełpinek;2.805
;Gdańsk Niedźwiednik;Gdańsk Strzyża;1.637
;Gdańsk Oliwa;Gdańsk Żabianka-AWFiS;1.244
;Gdańsk Orunia;Gdańsk Główny;3.585
